time,progress,x,y,z
70.59564,1,57.27401,0.5800048,112.5165
70.79199,1,57.27401,0.5800048,112.5165
70.99569,1,57.27401,0.5800048,112.5165
71.19586,1,57.27401,0.5800048,112.5165
71.39249,1,57.27401,0.5800048,112.5165
71.60813,1,57.27401,0.5800048,112.5165
71.80391,1,57.27401,0.5800048,112.5165
72.00351,1,57.27401,0.5800048,112.5165
72.20779,1,57.27401,0.5800048,112.5165
72.39611,1,57.27401,0.5800048,112.5165
72.61185,1,57.27401,0.5800048,112.5165
72.80401,1,57.27401,0.5800048,112.5165
73.00396,1,57.27401,0.5800048,112.5165
73.20838,1,57.27401,0.5800048,112.5165
73.39556,1,57.27401,0.5800048,112.5165
73.59192,1,57.27401,0.5800048,112.5165
73.80812,1,57.27401,0.5800048,112.5165
73.99971,1,57.27401,0.5800048,112.5165
74.20389,1,57.27401,0.5800048,112.5165
74.4002,1,57.27401,0.580003,112.5165
74.59982,1,57.27401,0.580003,112.5165
74.7925,1,57.27401,0.580003,112.5165
74.99985,1,57.27401,0.580003,112.5165
75.19987,1,57.27401,0.580003,112.5165
75.40017,1,57.27401,0.580003,112.5165
75.61185,1,57.27401,0.580003,112.5165
75.80403,1,57.27401,0.580003,112.5165
76.00014,1,57.27401,0.580003,112.5165
76.19992,1,57.27401,0.580003,112.5165
76.40002,1,57.27401,0.580003,112.5165
76.59585,1,57.27401,0.580003,112.5165
76.79597,1,57.27401,0.580003,112.5165
76.99979,1,57.27401,0.580003,112.5165
77.1961,1,57.27401,0.580003,112.5165
